"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10429","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144636","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10430","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144637","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10431","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144678","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10432","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144681","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10433","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144682","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10434","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144649","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10435","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144586","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10436","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144433","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10437","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144434","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10438","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144435","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10439","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144436","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10440","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144437","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10441","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144438","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10442","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144439","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10443","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144441","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10444","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144443","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10445","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144446","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10446","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144448","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10447","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144449","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10448","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144450","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10449","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144451","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10450","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144432","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337.5"
